Periode;Valeur
2000-01;112.3
1999-12;112.6
1999-11;112.6
1999-10;110.7
1999-09;110.2
1999-08;110.0
1999-07;110.0
1999-06;109.2
1999-05;108.3
1999-04;107.5
1999-03;107.7
1999-02;106.4
1999-01;107.5
1998-12;107.0
1998-11;107.3
1998-10;107.3
1998-09;107.4
1998-08;107.7
1998-07;107.7
1998-06;107.6
1998-05;107.3
1998-04;106.8
1998-03;106.9
1998-02;106.0
1998-01;105.1
1997-12;106.1
1997-11;103.3
1997-10;105.3
1997-09;103.2
1997-08;103.0
1997-07;103.0
1997-06;100.9
1997-05;100.7
1997-04;102.5
1997-03;98.9
1997-02;99.2
1997-01;97.1
1996-12;97.5
1996-11;97.7
1996-10;97.9
1996-09;97.6
1996-08;97.6
1996-07;97.6
1996-06;97.2
1996-05;97.5
1996-04;96.9
1996-03;96.6
1996-02;97.0
1996-01;97.6
1995-12;96.0
1995-11;97.0
1995-10;96.4
1995-09;97.3
1995-08;97.6
1995-07;97.6
1995-06;98.5
1995-05;98.5
1995-04;96.6
1995-03;99.0
1995-02;98.7
1995-01;98.8
1994-12;99.9
1994-11;99.7
1994-10;96.9
1994-09;97.2
1994-08;96.5
1994-07;96.5
1994-06;95.6
1994-05;95.7
1994-04;94.4
1994-03;93.8
1994-02;91.9
1994-01;92.7
1993-12;91.8
1993-11;90.9
1993-10;90.9
1993-09;92.1
1993-08;91.3
1993-07;91.3
1993-06;91.9
1993-05;91.2
1993-04;92.0
1993-03;92.5
1993-02;93.1
1993-01;92.8
1992-12;92.7
1992-11;94.1
1992-10;95.6
1992-09;96.7
1992-08;95.9
1992-07;95.9
1992-06;96.2
1992-05;96.1
1992-04;97.3
1992-03;97.6
1992-02;98.6
1992-01;98.0
1991-12;97.1
1991-11;97.5
1991-10;97.7
1991-09;97.7
1991-08;98.2
1991-07;98.2
1991-06;97.8
1991-05;97.2
1991-04;98.0
1991-03;97.2
1991-02;96.9
1991-01;99.3
1990-12;96.3
1990-11;99.1
1990-10;100.1
1990-09;99.2
1990-08;100.6
1990-07;100.6
1990-06;99.9
1990-05;101.4
1990-04;98.9
1990-03;101.6
1990-02;100.9
1990-01;101.3
1989-12;101.0
1989-11;100.3
1989-10;99.4
1989-09;98.3
1989-08;98.2
1989-07;98.2
1989-06;99.0
1989-05;98.2
1989-04;98.7
1989-03;97.8
1989-02;97.6
1989-01;97.5
1988-12;98.1
1988-11;96.8
1988-10;94.2
1988-09;96.1
1988-08;94.3
1988-07;94.3
1988-06;95.3
1988-05;94.9
1988-04;93.8
1988-03;94.6
1988-02;94.8
1988-01;94.3
1987-12;93.5
1987-11;92.2
1987-10;92.2
1987-09;91.8
1987-08;90.4
1987-07;90.4
1987-06;91.0
1987-05;90.4
1987-04;90.5
1987-03;90.2
1987-02;89.6
1987-01;86.5
1986-12;90.4
1986-11;90.1
1986-10;91.5
1986-09;90.0
1986-08;89.7
1986-07;89.7
1986-06;89.7
1986-05;88.9
1986-04;90.8
1986-03;88.8
1986-02;88.4
1986-01;90.5
1985-12;90.4
1985-11;90.8
1985-10;90.3
1985-09;89.5
1985-08;89.2
1985-07;89.2
1985-06;89.1
1985-05;90.2
1985-04;89.6
1985-03;90.1
1985-02;90.2
1985-01;87.7
